data inicio,data termino,nome do evento,Tipo,Estado que ocorrerá,Impacto para a aviação,Dia da semana que iniciará,Dias restantes para o evento,Se terá possível emenda
2025-01-27,2025-01-27,Dia do Orador,Data Comemorativa,Todos,Baixo,Monday,-187,Não
2025-01-27,2025-01-27,Dia Internacional do Conservador-Restaurador,Data Comemorativa,Todos,Baixo,Monday,-187,Não
2025-01-28,2025-01-28,Dia Internacional da Proteção de Dados,Data Comemorativa,Todos,Baixo,Tuesday,-186,Sim
2025-01-28,2025-01-28,Dia do Portuário,Data Comemorativa,Todos,Baixo,Tuesday,-186,Sim
2025-01-28,2025-01-28,Dia Nacional do Auditor-Fiscal do Trabalho,Data Comemorativa,Todos,Baixo,Tuesday,-186,Sim
2025-01-28,2025-01-28,Dia Nacional de Combate ao Trabalho Escravo,Data Comemorativa,Todos,Baixo,Tuesday,-186,Sim
2025-01-28,2025-01-28,Dia de São Tomás de Aquino,Data Comemorativa,Todos,Baixo,Tuesday,-186,Sim
2025-01-28,2025-01-28,Dia do Comércio Exterior,Data Comemorativa,Todos,Baixo,Tuesday,-186,Sim
2025-01-29,2025-01-29,Ano-Novo Chinês,Data Comemorativa,Todos,Baixo,Wednesday,-185,Não
2025-01-29,2025-01-29,Dia Nacional da Visibilidade Trans,Data Comemorativa,Todos,Baixo,Wednesday,-185,Não
2025-01-30,2025-01-30,Dia da Saudade,Data Comemorativa,Todos,Baixo,Thursday,-184,Sim
2025-01-30,2025-01-30,Dia Nacional das Histórias em Quadrinhos,Data Comemorativa,Todos,Baixo,Thursday,-184,Sim
2025-01-30,2025-01-30,Dia do Padrinho,Data Comemorativa,Todos,Baixo,Thursday,-184,Sim
2025-01-30,2025-01-30,Dia Mundial da Não-Violência e Cultura de Paz,Data Comemorativa,Todos,Baixo,Thursday,-184,Sim
2025-01-31,2025-01-31,Dia do Mágico,Data Comemorativa,Todos,Baixo,Friday,-183,Não
2025-01-31,2025-01-31,Dia de São João Bosco,Data Comemorativa,Todos,Baixo,Friday,-183,Não
2025-01-31,2025-01-31,Dia Nacional das Reservas Particulares do Patrimônio Natural,Data Comemorativa,Todos,Baixo,Friday,-183,Não
2025-01-31,2025-01-31,Dia do Engenheiro Ambiental,Data Comemorativa,Todos,Baixo,Friday,-183,Não
2025-02-01,2025-02-01,Dia do Publicitário,Data Comemorativa,Todos,Baixo,Saturday,-182,Não
2025-02-01,2025-02-01,"Início do Fevereiro Roxo | Lúpus, Alzheimer e Fibromialgia (de 1 a 29)",Data Comemorativa,Todos,Baixo,Saturday,-182,Não
2025-02-01,2025-02-01,Início do Fevereiro Laranja | Leucemia (de 1 a 29),Data Comemorativa,Todos,Baixo,Saturday,-182,Não
2025-02-02,2025-02-02,Dia de Iemanjá,Data Comemorativa,Todos,Baixo,Sunday,-181,Não
2025-02-02,2025-02-02,Dia de Nossa Senhora dos Navegantes,Data Comemorativa,Todos,Baixo,Sunday,-181,Não
2025-02-02,2025-02-02,Dia do Agente Fiscal,Data Comemorativa,Todos,Baixo,Sunday,-181,Não
2025-02-02,2025-02-02,Dia Mundial das Zonas Úmidas,Data Comemorativa,Todos,Baixo,Sunday,-181,Não
2025-02-03,2025-02-03,Dia de São Brás,Data Comemorativa,Todos,Baixo,Monday,-180,Não
2025-02-04,2025-02-04,Dia do Amigo do Facebook,Data Comemorativa,Todos,Baixo,Tuesday,-179,Sim
2025-02-04,2025-02-04,Dia Mundial do Câncer,Data Comemorativa,Todos,Baixo,Tuesday,-179,Sim
2025-02-04,2025-02-04,Aniversário de Macapá,Data Comemorativa,Todos,Baixo,Tuesday,-179,Sim
2025-02-04,2025-02-04,Dia Internacional da Fraternidade Humana,Data Comemorativa,Todos,Baixo,Tuesday,-179,Sim
2025-02-05,2025-02-05,Dia do Datiloscopista,Data Comemorativa,Todos,Baixo,Wednesday,-178,Não
2025-02-05,2025-02-05,Dia Nacional da Mamografia,Data Comemorativa,Todos,Baixo,Wednesday,-178,Não
2025-02-05,2025-02-05,Dia do Dermatologista,Data Comemorativa,Todos,Baixo,Wednesday,-178,Não
2025-02-05,2025-02-05,Dia Mundial da Nutella,Data Comemorativa,Todos,Baixo,Wednesday,-178,Não
2025-02-06,2025-02-06,Dia do Agente de Defesa Ambiental,Data Comemorativa,Todos,Baixo,Thursday,-177,Sim
2025-02-06,2025-02-06,Dia Internacional da Tolerância Zero à Mutilação Genital Feminina,Data Comemorativa,Todos,Baixo,Thursday,-177,Sim
2025-02-07,2025-02-07,Dia do Gráfico,Data Comemorativa,Todos,Baixo,Friday,-176,Não
2025-02-07,2025-02-07,Dia Nacional de Luta dos Povos Indígenas,Data Comemorativa,Todos,Baixo,Friday,-176,Não
2025-02-08,2025-02-08,Dia do Magistério Militar,Data Comemorativa,Todos,Baixo,Saturday,-175,Não
2025-02-09,2025-02-09,Dia do Frevo em Pernambuco,Data Comemorativa,Todos,Baixo,Sunday,-174,Não
2025-02-09,2025-02-09,Dia de Leitura na Banheira,Data Comemorativa,Todos,Baixo,Sunday,-174,Não
2025-02-10,2025-02-10,Dia do Atleta Profissional,Data Comemorativa,Todos,Baixo,Monday,-173,Não
2025-02-10,2025-02-10,Dia Mundial das Leguminosas,Data Comemorativa,Todos,Baixo,Monday,-173,Não
2025-02-10,2025-02-10,Dia Internacional da Epilepsia,Data Comemorativa,Todos,Baixo,Monday,-173,Não
2025-02-11,2025-02-11,Dia do Zelador,Data Comemorativa,Todos,Baixo,Tuesday,-172,Sim
2025-02-11,2025-02-11,Dia Mundial do Enfermo,Data Comemorativa,Todos,Baixo,Tuesday,-172,Sim
2025-02-11,2025-02-11,Dia de Nossa Senhora de Lourdes,Data Comemorativa,Todos,Baixo,Tuesday,-172,Sim
2025-02-11,2025-02-11,Dia da Internet Segura,Data Comemorativa,Todos,Baixo,Tuesday,-172,Sim
2025-02-11,2025-02-11,Dia Internacional das Mulheres e Meninas na Ciência,Data Comemorativa,Todos,Baixo,Tuesday,-172,Sim
2025-02-12,2025-02-12,Dia de Darwin,Data Comemorativa,Todos,Baixo,Wednesday,-171,Não
2025-02-13,2025-02-13,Dia Mundial do Rádio,Data Comemorativa,Todos,Baixo,Thursday,-170,Sim
2025-02-13,2025-02-13,Dia do Serviço de Assistência Religiosa do Exército,Data Comemorativa,Todos,Baixo,Thursday,-170,Sim
2025-02-13,2025-02-13,Dia Internacional do Preservativo,Data Comemorativa,Todos,Baixo,Thursday,-170,Sim
2025-02-13,2025-02-13,Dia de Ter um Nome Diferente,Data Comemorativa,Todos,Baixo,Thursday,-170,Sim
2025-02-14,2025-02-14,Dia de São Valentim,Data Comemorativa,Todos,Baixo,Friday,-169,Não
2025-02-14,2025-02-14,Dia Mundial do Amor,Data Comemorativa,Todos,Baixo,Friday,-169,Não
2025-02-14,2025-02-14,Dia do Botonista,Data Comemorativa,Todos,Baixo,Friday,-169,Não
2025-02-14,2025-02-14,Dia Internacional da Doação de Livros,Data Comemorativa,Todos,Baixo,Friday,-169,Não
2025-02-15,2025-02-15,Dia Internacional de Luta contra o Câncer Infantil,Data Comemorativa,Todos,Baixo,Saturday,-168,Não
2025-02-16,2025-02-16,Dia do Repórter,Data Comemorativa,Todos,Baixo,Sunday,-167,Não
2025-02-17,2025-02-17,Dia Mundial do Gato,Data Comemorativa,Todos,Baixo,Monday,-166,Não
2025-02-18,2025-02-18,Dia Nacional de Combate ao Alcoolismo,Data Comemorativa,Todos,Baixo,Tuesday,-165,Sim
2025-02-18,2025-02-18,Dia Internacional da Síndrome de Asperger,Data Comemorativa,Todos,Baixo,Tuesday,-165,Sim
2025-02-19,2025-02-19,Dia do Esportista,Data Comemorativa,Todos,Baixo,Wednesday,-164,Não
2025-02-19,2025-02-19,Dia de São Conrado,Data Comemorativa,Todos,Baixo,Wednesday,-164,Não
2025-02-19,2025-02-19,Dia Mundial da Baleia,Data Comemorativa,Todos,Baixo,Wednesday,-164,Não
2025-02-20,2025-02-20,Dia Mundial da Justiça Social,Data Comemorativa,Todos,Baixo,Thursday,-163,Sim
2025-02-20,2025-02-20,Dia Nacional de Combate às Drogas e Alcoolismo,Data Comemorativa,Todos,Baixo,Thursday,-163,Sim
2025-02-21,2025-02-21,Dia Nacional do Imigrante Italiano,Data Comemorativa,Todos,Baixo,Friday,-162,Não
2025-02-21,2025-02-21,Dia Internacional da Língua Materna,Data Comemorativa,Todos,Baixo,Friday,-162,Não
2025-02-22,2025-02-22,Dia Internacional do Maçom,Data Comemorativa,Todos,Baixo,Saturday,-161,Não
2025-02-22,2025-02-22,Dia do Auxiliar de Serviços Gerais,Data Comemorativa,Todos,Baixo,Saturday,-161,Não
2025-02-22,2025-02-22,Dia Mundial da Margarita,Data Comemorativa,Todos,Baixo,Saturday,-161,Não
2025-02-23,2025-02-23,Dia Nacional do Movimento Municipalista Brasileiro,Data Comemorativa,Todos,Baixo,Sunday,-160,Não
2025-02-23,2025-02-23,Dia Nacional do Rotary,Data Comemorativa,Todos,Baixo,Sunday,-160,Não
2025-02-24,2025-02-24,Promulgação da Primeira Constituição Republicana,Data Comemorativa,Todos,Baixo,Monday,-159,Não
2025-02-24,2025-02-24,Dia da Conquista do Voto Feminino no Brasil,Data Comemorativa,Todos,Baixo,Monday,-159,Não
2025-02-26,2025-02-26,Dia de Santo Alexandre,Data Comemorativa,Todos,Baixo,Wednesday,-157,Não
2025-02-26,2025-02-26,Dia de Contar um Conto de Fadas,Data Comemorativa,Todos,Baixo,Wednesday,-157,Não
2025-02-27,2025-02-27,Dia do Livro Didático,Data Comemorativa,Todos,Baixo,Thursday,-156,Sim
2025-02-27,2025-02-27,Dia de São Leandro,Data Comemorativa,Todos,Baixo,Thursday,-156,Sim
2025-02-28,2025-02-28,Dia Mundial da Doença Rara,Data Comemorativa,Todos,Baixo,Friday,-155,Não
2025-02-28,2025-02-28,Dia da Ressaca,Data Comemorativa,Todos,Baixo,Friday,-155,Não
2025-02-28,2025-02-28,Dia de São Romão e Lupicino,Data Comemorativa,Todos,Baixo,Friday,-155,Não
2025-02-28,2025-02-28,Dia Mundial de combate a LER/DORT,Data Comemorativa,Todos,Baixo,Friday,-155,Não
2025-03-01,2025-03-01,Aniversário do Rio de Janeiro,Data Comemorativa,Todos,Baixo,Saturday,-154,Não
2025-03-01,2025-03-01,Dia Mundial de Zero Discriminação,Data Comemorativa,Todos,Baixo,Saturday,-154,Não
2025-03-01,2025-03-01,Dia das Crianças Doentes,Data Comemorativa,Todos,Baixo,Saturday,-154,Não
2025-03-01,2025-03-01,Dia Pan-Americano de Turismo,Data Comemorativa,Todos,Baixo,Saturday,-154,Não
2025-03-01,2025-03-01,Dia do Turismo Ecológico,Data Comemorativa,Todos,Baixo,Saturday,-154,Não
2025-03-01,2025-03-01,Início do Março Vermelho | Câncer Renal (de 1 a 31),Data Comemorativa,Todos,Baixo,Saturday,-154,Não
2025-03-01,2025-03-01,Início do Março Azul-Marinho | Câncer Colorretal (de 1 a 31),Data Comemorativa,Todos,Baixo,Saturday,-154,Não
2025-03-03,2025-03-03,Segunda-feira de Carnaval,Data Comemorativa,Todos,Baixo,Monday,-152,Não
2025-03-03,2025-03-03,Dia Mundial da Vida Selvagem,Data Comemorativa,Todos,Baixo,Monday,-152,Não
2025-03-03,2025-03-03,Dia do Corpo de Intendentes da Marinha,Data Comemorativa,Todos,Baixo,Monday,-152,Não
2025-03-03,2025-03-03,Dia do Médico Otorrinolaringologista,Data Comemorativa,Todos,Baixo,Monday,-152,Não
2025-03-03,2025-03-03,Dia Mundial da Audição,Data Comemorativa,Todos,Baixo,Monday,-152,Não
2025-03-03,2025-03-03,Dia Mundial dos Defeitos do Nascimento,Data Comemorativa,Todos,Baixo,Monday,-152,Não
